0.02	0.00923797	0.0216284	0	0	0
0.04	0.0675074	0.0507631	0.0361957	0	0
0.06	0.0880358	0.0486369	0.0497	0.0180979	0
0.08	0.117946	0.0927267	0.0706818	0.0601909	0
0.1	0.0647196	0.0763777	0.0845522	0.077617	0.0689039
0.12	0.096263	0.107104	0.0917411	0.0881466	0.0828818
0.14	0.156932	0.110826	0.108965	0.100353	0.0942499
0.16	0.124847	0.110555	0.11069	0.109828	0.10509
0.18	0.169018	0.162975	0.136765	0.123728	0.116778
0.2	0.177503	0.151175	0.157075	0.14692	0.135324
0.22	0.208385	0.188701	0.169938	0.163506	0.155213
0.24	0.197302	0.187402	0.188052	0.178995	0.171251
0.26	0.227081	0.217733	0.202568	0.19531	0.187152
0.28	0.285475	0.241388	0.229561	0.216064	0.205687
0.3	0.295976	0.261529	0.251459	0.24051	0.228287
0.32	0.281627	0.283551	0.27254	0.261999	0.251254
0.34	0.303081	0.299529	0.29154	0.28204	0.27202
0.36	0.258404	0.270016	0.284772	0.288156	0.285098
0.38	0.317433	0.310257	0.290136	0.287454	0.287805
0.4	0.270459	0.264432	0.287344	0.28874	0.288097
0.42	0.304813	0.311123	0.287777	0.287561	0.288151
0.44	0.305548	0.288003	0.299563	0.29367	0.290615
0.46	0.383149	0.343981	0.315992	0.307778	0.300724
0.48	0.328916	0.317232	0.330607	0.323299	0.315538
0.5	0.363471	0.37331	0.345271	0.337939	0.330619
0.52	0.346099	0.337508	0.355409	0.35034	0.344139
0.54	0.353362	0.358417	0.347962	0.351686	0.351013
0.56	0.451354	0.398727	0.378572	0.363267	0.357476
0.58	0.381892	0.367627	0.383177	0.380874	0.372071
0.6	0.419591	0.435473	0.40155	0.392363	0.386619
0.62	0.46007	0.420981	0.428227	0.414888	0.403626
0.64	0.444917	0.432254	0.426617	0.427422	0.421155
0.66	0.420387	0.440229	0.436241	0.431429	0.429426
0.68	0.461311	0.453114	0.446671	0.441456	0.436443
0.7	0.456401	0.438394	0.445754	0.446213	0.443835
0.72	0.459395	0.460353	0.449374	0.447564	0.446888
0.74	0.513031	0.484716	0.472535	0.460954	0.454259
0.76	0.450378	0.454887	0.469802	0.471168	0.466061
0.78	0.503296	0.508164	0.481525	0.475663	0.473416
0.8	0.483533	0.466956	0.48756	0.484542	0.480103
0.82	0.512216	0.507756	0.487356	0.487458	0.486
0.84	0.479288	0.48141	0.494583	0.49097	0.489214
0.86	0.532136	0.522176	0.501793	0.498188	0.494579
0.88	0.474715	0.477002	0.499589	0.500691	0.49944
0.9	0.484717	0.508427	0.492714	0.496152	0.498422
0.92	0.533023	0.503869	0.506148	0.499431	0.497791
0.94	0.546628	0.515673	0.509771	0.507959	0.503695
0.96	0.463878	0.49845	0.507061	0.508416	0.508188
0.98	0.553717	0.550173	0.524311	0.515686	0.512051
1	0.512977	0.488428	0.5193	0.521806	0.518746
1.02	0.470293	0.512005	0.500216	0.509758	0.515782
1.04	0.481938	0.497458	0.504731	0.502474	0.506116
1.06	0.529795	0.500044	0.498751	0.501741	0.502108
1.08	0.552983	0.517461	0.508752	0.503752	0.502746
1.1	0.499071	0.514433	0.515947	0.51235	0.508051
