0.01			77854.2			78173.1			6.34821e+06			6.28542e+06
0.02			140074			203882			6.2252e+06			6.22194e+06
0.03			201671			391488			6.10692e+06			6.15969e+06
0.04			262657			640353			5.99311e+06			6.09862e+06
0.05			323044			949841			5.88354e+06			6.03869e+06
0.06			382842			1.31931e+06			5.77798e+06			5.97986e+06
0.07			442063			1.74813e+06			5.67622e+06			5.92208e+06
0.08			500716			2.23566e+06			5.57808e+06			5.86531e+06
0.09			558811			2.78125e+06			5.48336e+06			5.80953e+06
0.1			616358			3.38428e+06			5.3919e+06			5.7547e+06
0.11			673366			4.04411e+06			5.30354e+06			5.70078e+06
0.12			729844			4.76009e+06			5.21813e+06			5.64774e+06
0.13			785799			5.53159e+06			5.13554e+06			5.59556e+06
0.14			841241			6.35798e+06			5.05563e+06			5.54421e+06
0.15			896178			7.2386e+06			4.97827e+06			5.49365e+06
0.16			950617			8.17284e+06			4.90336e+06			5.44387e+06
0.17			1.00456e+06			9.16004e+06			4.83079e+06			5.39483e+06
0.18			1.05803e+06			1.01996e+07			4.76045e+06			5.34653e+06
0.19			1.11102e+06			1.12908e+07			4.69224e+06			5.29892e+06
0.2			1.16354e+06			1.24331e+07			4.62607e+06			5.252e+06
0.21			1.2156e+06			1.36258e+07			4.56186e+06			5.20574e+06
0.22			1.2672e+06			1.48682e+07			4.49953e+06			5.16012e+06
0.23			1.31835e+06			1.61599e+07			4.439e+06			5.11512e+06
0.24			1.36906e+06			1.75e+07			4.38019e+06			5.07074e+06
0.25			1.41933e+06			1.8888e+07			4.32304e+06			5.02693e+06
0.26			1.46916e+06			2.03232e+07			4.26748e+06			4.9837e+06
0.27			1.51857e+06			2.1805e+07			4.21345e+06			4.94103e+06
0.28			1.56756e+06			2.33327e+07			4.16088e+06			4.89889e+06
0.29			1.61614e+06			2.49058e+07			4.10974e+06			4.85728e+06
0.3			1.6643e+06			2.65236e+07			4.05994e+06			4.81619e+06
0.31			1.71205e+06			2.81853e+07			4.01146e+06			4.77559e+06
0.32			1.75941e+06			2.98905e+07			3.96425e+06			4.73547e+06
0.33			1.80637e+06			3.16385e+07			3.91824e+06			4.69583e+06
0.34			1.85293e+06			3.34286e+07			3.87341e+06			4.65665e+06
0.35			1.89911e+06			3.52601e+07			3.82971e+06			4.61791e+06
0.36			1.94491e+06			3.71325e+07			3.78709e+06			4.57962e+06
0.37			1.99032e+06			3.90452e+07			3.74553e+06			4.54175e+06
0.38			2.03537e+06			4.09974e+07			3.70499e+06			4.50429e+06
0.39			2.08004e+06			4.29885e+07			3.66542e+06			4.46724e+06
0.4			2.12435e+06			4.50179e+07			3.62681e+06			4.43059e+06
