0	15000	15000	9.8067	1000
0.01	15010	15010	9.76074	999.902
0.02	15020	15020	9.7607	999.805
0.03	15030	15030	9.76067	999.707
0.04	15040	15040	9.76064	999.61
0.05	15050	15050	9.76061	999.512
0.06	15060	15060	9.76058	999.414
0.07	15070	15070	9.76055	999.317
0.08	15080	15080	9.76052	999.219
0.09	15090	15090	9.76049	999.122
0.1	15099.9	15100	9.76046	999.024
0.11	15109.9	15109.9	9.76043	998.926
0.12	15119.9	15119.9	9.7604	998.829
0.13	15129.9	15129.9	9.76037	998.731
0.14	15139.9	15139.9	9.76034	998.634
0.15	15149.9	15149.9	9.76031	998.536
0.16	15159.9	15159.9	9.76028	998.438
0.17	15169.9	15169.9	9.76025	998.341
0.18	15179.8	15179.8	9.76022	998.243
0.19	15189.8	15189.8	9.76019	998.146
0.2	15199.8	15199.8	9.76016	998.048
0.21	15209.8	15209.8	9.76012	997.951
0.22	15219.8	15219.8	9.76009	997.853
0.23	15229.7	15229.7	9.76006	997.755
0.24	15239.7	15239.7	9.76003	997.658
0.25	15249.7	15249.7	9.76	997.56
0.26	15259.7	15259.7	9.75997	997.463
0.27	15269.6	15269.6	9.75994	997.365
0.28	15279.6	15279.6	9.75991	997.267
0.29	15289.6	15289.6	9.75988	997.17
0.3	15299.5	15299.6	9.75985	997.072
0.31	15309.5	15309.5	9.75982	996.975
0.32	15319.5	15319.5	9.75979	996.877
0.33	15329.5	15329.5	9.75976	996.779
0.34	15339.4	15339.4	9.75973	996.682
0.35	15349.4	15349.4	9.7597	996.584
0.36	15359.3	15359.4	9.75967	996.487
0.37	15369.3	15369.3	9.75964	996.389
0.38	15379.3	15379.3	9.75961	996.291
0.39	15389.2	15389.3	9.75958	996.194
0.4	15399.2	15399.2	9.75955	996.096
0.41	15409.2	15409.2	9.75952	995.999
0.42	15419.1	15419.1	9.75949	995.901
0.43	15429.1	15429.1	9.75946	995.803
0.44	15439	15439.1	9.75943	995.706
0.45	15449	15449	9.7594	995.608
0.46	15458.9	15459	9.75937	995.511
0.47	15468.9	15468.9	9.75933	995.413
0.48	15478.9	15478.9	9.7593	995.315
0.49	15488.8	15488.8	9.75927	995.218
0.5	15498.8	15498.8	9.75924	995.12
0.51	15508.7	15508.7	9.75921	995.023
0.52	15518.7	15518.7	9.75918	994.925
0.53	15528.6	15528.6	9.75915	994.827
0.54	15538.5	15538.6	9.75912	994.73
0.55	15548.5	15548.5	9.75909	994.632
0.56	15558.4	15558.5	9.75906	994.535
0.57	15568.4	15568.4	9.75903	994.437
0.58	15578.3	15578.4	9.759	994.339
0.59	15588.3	15588.3	9.75897	994.242
0.6	15598.2	15598.2	9.75894	994.144
0.61	15608.2	15608.2	9.75891	994.047
0.62	15618.1	15618.1	9.75888	993.949
0.63	15628	15628.1	9.75885	993.852
0.64	15638	15638	9.75882	993.754
0.65	15647.9	15647.9	9.75879	993.656
0.66	15657.8	15657.9	9.75876	993.559
0.67	15667.8	15667.8	9.75873	993.461
0.68	15677.7	15677.7	9.7587	993.364
0.69	15687.6	15687.7	9.75867	993.266
0.7	15697.6	15697.6	9.75864	993.168
0.71	15707.5	15707.5	9.75861	993.071
0.72	15717.4	15717.5	9.75858	992.973
0.73	15727.4	15727.4	9.75854	992.876
0.74	15737.3	15737.3	9.75851	992.778
0.75	15747.2	15747.2	9.75848	992.68
0.76	15757.1	15757.2	9.75845	992.583
0.77	15767.1	15767.1	9.75842	992.485
0.78	15777	15777	9.75839	992.388
0.79	15786.9	15786.9	9.75836	992.29
0.8	15796.8	15796.9	9.75833	992.192
0.81	15806.8	15806.8	9.7583	992.095
0.82	15816.7	15816.7	9.75827	991.997
0.83	15826.6	15826.6	9.75824	991.9
0.84	15836.5	15836.5	9.75821	991.802
0.85	15846.4	15846.5	9.75818	991.704
0.86	15856.3	15856.4	9.75815	991.607
0.87	15866.3	15866.3	9.75812	991.509
0.88	15876.2	15876.2	9.75809	991.412
0.89	15886.1	15886.1	9.75806	991.314
0.9	15896	15896	9.75803	991.216
0.91	15905.9	15905.9	9.758	991.119
0.92	15915.8	15915.8	9.75797	991.021
0.93	15925.7	15925.8	9.75794	990.924
0.94	15935.6	15935.7	9.75791	990.826
0.95	15945.5	15945.6	9.75788	990.728
0.96	15955.5	15955.5	9.75785	990.631
0.97	15965.4	15965.4	9.75782	990.533
0.98	15975.3	15975.3	9.75779	990.436
0.99	15985.2	15985.2	9.75776	990.338
1	15995.1	15995.1	9.75773	990.24
1.01	16005	16005	9.7577	990.143
1.02	16014.9	16014.9	9.75767	990.045
1.03	16024.8	16024.8	9.75764	989.948
1.04	16034.7	16034.7	9.75761	989.85
1.05	16044.6	16044.6	9.75758	989.753
1.06	16054.5	16054.5	9.75755	989.655
1.07	16064.4	16064.4	9.75752	989.557
1.08	16074.3	16074.3	9.75749	989.46
1.09	16084.1	16084.2	9.75745	989.362
1.1	16094	16094.1	9.75743	989.265
1.11	16103.9	16104	9.75739	989.167
1.12	16113.8	16113.8	9.75737	989.069
1.13	16123.7	16123.7	9.75733	988.972
1.14	16133.6	16133.6	9.75731	988.874
1.15	16143.5	16143.5	9.75728	988.777
1.16	16153.4	16153.4	9.75725	988.679
1.17	16163.3	16163.3	9.75721	988.581
1.18	16173.1	16173.2	9.75718	988.484
1.19	16183	16183.1	9.75715	988.386
1.2	16192.9	16192.9	9.75712	988.289
1.21	16202.8	16202.8	9.75709	988.191
1.22	16212.7	16212.7	9.75706	988.093
1.23	16222.6	16222.6	9.75703	987.996
1.24	16232.4	16232.5	9.757	987.898
1.25	16242.3	16242.3	9.75697	987.801
